35840  45293  36317  30974  28168  25300  24619  24839  23056  23208  22925  21856  21468  21726  21160  11287  19103  
36864  47376  36303  30935  26701  27340  24297  24864  21947  23646  22464  23000  21788  23091  21310  21730  20141  
37888  48124  35081  18467  25206  26646  24430  24823  23200  23805  22042  23429  21363  22852  20906  22237  20732  
38912  50580  37226  33774  29445  28899  26747  21372  20522  25151  23089  23716  22775  23769  22049  23050  22245  
39936  52333  39115  34328  29184  27470  27202  26196  25804  24552  24181  24921  18727  23774  20815  23616  22515  
40960  45557  40148  32660  32029  29051  28292  25868  26543  26082  26071  24512  25076  24694  23830  23942  17066  
41984  54604  40522  35767  31023  28586  28109  27845  26248  26176  26153  25137  24887  24026  24373  23407  24260  
43008  51224  40840  23862  30974  30008  27542  27015  28529  24626  26121  13215  17704  22752  20018  24639  23858  
44032  53106  42755  37653  32267  30496  29374  26151  22331  27037  26664  25356  26095  25936  25393  24710  25075  
45056  55606  43838  36895  34469  31983  28857  28877  28104  26953  26923  14170  24633  26772  25947  25936  24260  
46080  56620  42495  38366  33796  32460  31030  29038  28655  28362  27838  27217  27773  26540  26276  16796  23448  
47104  55026  43854  37546  34423  32989  31626  30817  29674  28720  28038  27017  28035  26104  26596  26664  24117  
48128  54428  37758  36501  36437  33624  31490  29544  28736  29169  28578  27821  26924  28244  27634  27595  26766  
49152  55636  46619  40668  35106  33269  24093  29863  30360  29881  29358  29212  28369  28739  27787  27812  26147  
50176  55713  46649  39967  36129  33813  32901  32010  30185  18220  27300  28447  29456  29272  27583  27914  27055  
51200  51668  48928  40666  37937  35504  33369  32315  30132  30999  28145  29357  27432  26286  28745  28444  28248  
52224  58064  49564  42856  38822  35128  34280  31821  31721  30931  29166  29988  29129  30071  28111  29306  21001  
53248  55235  47619  39689  39420  36808  35102  32884  32793  32098  31087  31041  30753  30388  29533  29278  29286  
54272  58753  49092  31855  39594  35960  34066  34080  32593  30691  31210  31219  29849  30821  30975  18040  29183  
55296  56483  45656  34163  39278  37918  20915  31612  34051  32930  32043  32053  31311  30954  28811  29683  25238  
